"Applies to these edge types","Name","Type","Presence","ML0","ML1","ML2","ML3","Description","Example Value","Rating for keeping (1 -5) (1 = throw out/table for later, 5 = keep/implement now)
Put Name Rating and then ',' for adding the next person","Notes","OSM Mapping?"
"all","edge_id","ID","","Required","","","","Identifies the edge. Must be unique.","1234","Reid 5,","",""
"all EXCEPT road","road_associated","Boolean","Required","Bike: Optional
Ped: Optional","","","","Specifies if this feature is adjacent to a road. Might be able to be created through spatial analysis but intended to help add road attributes (street name, speeds, traffic volume) to the feature to aid with routing.","","Reid 3,","This might be redundant. Make sure name matches other terms used in the spec eg 'Roadway Adjacent', 'Road parallel' , 'Road assocaited'

I would say this is defacto true if road_reference_id is set to anything right?",""
"all","road_reference_id","Array of JSONs","Optional","","Optional","","","Intended for sidewalks and bicycle facilities adjacent to streets. Allows for attaching road attributes to the sidewalks/bike facilities. Street name is useful for sidewalk routing, road characterstics are useful for determining the LTS of the bike facility.","[{'id':'1234','source':'OpenStreetMap},{'GERSID:'1234','source':'Overture'}]","Reid 1, ","Do we want a way to specify which type the ID is? e.g. TMC ID, OSM ID, etc.? ",""
"all","reference_ids","Array of JSONs","Optional","Ped: Optional
Bike: Optional","","","","Can be used to add reference IDs to other datasources such as OSM, OpenLR. Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum.","[{'id':'1234','source':'OpenStreetMap},{'GERSID:'1234','source':'Overture'}]","Reid 4,","",""
"all","from_node","ID","Optional","Ped: Required
Bike: Required","","","","Maybe auto generate these","1234","Reid 5,","",""
"all","to_node","ID","Optional","Ped: Required
Bike: Required","","","","","1235","Reid 5,","",""
"all","edge_type","Enum","Required","Ped: Required
Bike: Required","","","","Specifies the type of edge (eg, roadway, bikeway, shared-use pathway, etc)","","","",""
"all","directionality","Enum","Required","Ped: Required
Bike: Required","","","","Specifies directionality of the edge. If bidirectional is false then allowed direction is only 'from_node' to 'to_node': forward, backward, both","forward","Reid 5,","Could also just adapt OSM's oneway=yes/no/-1 but I don't like the -1 for backward","oneway"
"all","street_name","String","Optional","Ped: Optional
Bike: Optional","","","","Specifies the full name of the related street with no abbreviations. Roadway adjacent features (sidewalks, bikeways) should feature their adjacent road name.","","Reid 5,","",""
"all EXCEPT road","facility_name","String","Optional","Ped: Optional
Bike: Optional","","","","Common name for edge. Example: 10th Street Cycletrack, Lenape Trail, East Coast Greenway.","","Reid 2,","Makes sense but ill-defined?",""
"road, bikeway","bikeway_type","String","Optional","","","Bike Required","","Option to put a more human readable descriptive name for the type of bicycle facility. Strongly reccomend using on of  the National Bicycle Network Definitions if at all possible (https://data.transportation.gov/stories/s/National-Bicycle-Network/88zh-3rqb/)","","","Have suggested field values",""
