"Name","Description","Tier","Internal Notes","Proposal For Change"
"road","A public road primarily intended for automobile travel.

Sidewalk and bikeway edges can be represented as part of a road edge using the left/right/both modifiers. See the Specification Document for more information on dedicated geometries vs. using road centerline representations [RELATE THIS RECO TO A TIER LEVEL?].","1","",""
"sidewalk","A designated pedestrian path along the side of a roadway.

This edge type includes pedestrian lanes, in which a section of the roadway surface is divided out for pedestrian use; use pedestrian_lane attribute to indicate.

Can use the left/right/both field modifiers to represent this edge type on a road edge.

See the Specification Document for more information on dedicated geometries vs. using road centerline representations [RELATE THIS RECO TO A TIER LEVEL?].","1","",""
"footpath","A dedicated pedestrian path that does not fall into another category. Primarily used for connecting sidewalks to crossings.","2","Clarify use w.r.t. ramp and ""bulbs"" that connect sidewalk centerlines to curb interface nodes? Which is preferred?",""
"crossing","A location where infrastructure or a designation exists to help pedestrians and/or cyclists cross traffic lanes or other areas designated for traffic. In many locations, a crossing is a crosswalk. ","1","",""
"ramp","Indicates any type of ramp, where the footpath is built to deliberately slope up or down to improve access.  ","2","Clarify use w.r.t. ramp and ""bulbs"" that connect sidewalk centerlines to curb interface nodes? Which is preferred?",""
"traffic_island","A median or other raised or protected area between traffic lanes on the road surface meant to provide a safe space for pedestrians to stop. A traffic island may or may not have a midblock entrance. Can be used to indicate transit islands.","2","",""
"steps","Fixed steps or stairs that appear along a pedestrian way. 

NC-BPAID maps outdoor infrastructure; switch to GTFS Pathways or IMDF conventions for indoor infrastructure.","3","",""
"elevator","Elevators, funiculars, or other car- or enclosure-based constructions meant to vertically carry a pedestrian from one level of physical infrastructure to another. 

NC-BPAID maps outdoor infrastructure; switch to GTFS Pathways or IMDF conventions for indoor infrastructure.","","",""
"escalator","Escalators or any other construction of moving stairs meant to carry a pedestrian from one level of physical infrastructure to another. 

NC-BPAID maps outdoor infrastructure; switch to GTFS Pathways or IMDF conventions for indoor infrastructure.","3","",""
"bikeway","A designated cycling lane or path that can be on, next to or away from a road.

If pedestrian usage is designated then use multi_use_path edge type instead.

See the Specification Document for more information on dedicated geometries vs. using road centerline representations [RELATE THIS RECO TO A TIER LEVEL?].","1","",""
"multi_use_path","A generic link that allows both bike and pedestrian travel. It can take on both sidewalk and cycleway attributes.","2","AASHTO and NACTO both use ""shared use path"" rather than ""multi use path.""

Also, for shared facilities did you consider breaking out ""Sidepaths"" (which parallel a roadway) from ""Shared-Use Paths"" (which run on a separate alignment)? Both AASHTO and NACTO make this distinction as the design for the two can vary somewhat in terms of slope, curvature, buffer, crossing treatments, etc. as well as in terms of user comfort and desirability. True SUPs are what often get called ""Trails.""
","Rename to shared_use_path"
"trail","Any kind of path or trail that allows bicycle or pedestrian travel that wouldn't fall into the multi_use_path designation. Includes official and unofficial unpaved trails, social trails, goatpaths and desire lines (https://en.wikipedia.org/wiki/Desire_path).","2","",""
"virtual_link","Links added for topology, connectivity, or crossing reasons by the analyst. Does not relate to a piece of physical infrastructure in the real world.

NOTE: This edge type doesn't necessarily represent acutal infrastructure, consuming applications may want to filter these edges out depending on use case. ","2","",""
