"Applies to these node types","Name","Type","ML0","ML1","ML2","ML3","Description","Example Value","Rating for keeping (1 -5) (1 = throw out, 5 = keep)","Notes"
"ramp","issue","string (with recommended values)","","","Ped: Optional (yes / no values only)","Ped: Recommended (list specific issue)","Indicates if a potential accessibility issue for some or all users exists at the ramp. At higher levels, conveys the type of the issue.","yes, no, cracking, scaling, spalling, overgrowth, uneven/displacement, frequent water pooling, obstruction, turning space missing or issue, detectable warning surface damage, push button not working, other","","Shouldn't this be left to users to evaluate themselves? Flagging this is a ""value laden"" thing, e.g. ""accessible"", as I thought we said we'd not do in our guiding principles?"
"ramp","tactile_paving","enum","","","Ped: Recommended","Ped: Recommended","Describes whether tactile paving is present, with or without color.","yes - contrasted, yes - not contrasted, no","","Note standards for contrast? "
"ramp","style","enum","","","Ped: Recommended","Ped: Recommended","Indicates the type of ramp at the location","diagonal, double, end ramp, landing, single, none, unknown","",""
"ramp","ada_compliance","enum","","Ped: Optional","Ped: Recommended","Ped: Recommended","Indicates the outcome of assessment for ADA compliance","yes, no, unknown","","Value-judgement? Break down into specific attributes? "
"ramp","incline","numeric","","","Ped: Recommended","Ped: Recommended","Indicates the running incline or slope of the ramp, measured in percentage.","6.7","",""
"ramp","cross_slope","numeric","","","Ped: Recommended","Ped: Recommended","Indicates the cross slope of the ramp, measured in percentage.","1.2","",""
"ramp","width","numeric","","","Ped: Recommended","Ped: Recommended","Indicates the minimum width of the ramp, measured between the handrails if handrails are provided. Measured in inches.","36","",""
"issue","obstruction","string (with recommended values)","","","Ped: Optional (temporary / permanent values only)","Ped: Recommended (list specific issue)","Indicates what type of obstruction exists at the node point. For obstructions that occur repeatedly along the length of an edge, use the quality attribute on the related edge instead.","temporary, permanent, pole, fire hydrant, overgrowth (ground), overgrowth (aerial), hole, missing stone or tile, frequent water pooling, grate, rooting, manhole, height obstruction, protrusion, street furniture, median / ramp / other construction, parklet / kiosk / sidewalk use, fence (start), other","","Why do we have a present yes/no then type? Why not just collapse into one field? "
"issue","incline","numeric","","","","Ped: Recommended","Indicates an area with sudden steep slope. Use the issue node for a small section with a slope that differs from the rest of the segment. Use the incline field on the edge for segment slope. The direction of the slope is when traveling from the ""from_node"" to the ""to_node"" on the related segment.","9.5","","Hmm... can this be represented as a node with just the incline attribute set to the new slope? Not sure we need another flag that the slope has changed? "
"issue","damage","string (with recommended values)","","","","Ped: Recommended","Indicates a spot with a sudden quality issue. For quality issues that span the segment, use the quality field on the related edge instead. ","cracking, scaling, spalling, slipping hazard, pushbutton not working, striping / markings worn, uneven / displacement, frost heaving","",""
"ramp","ada_compliance_date","datetime","","Ped: Required if ada_compliance is not blank","Ped: Required if ada_compliance is not blank","Ped: Required if ada_compliance is not blank","Indicates the date when the referenced ADA compliance assessment was completed. ","","","Maybe rename to when the data was refreshed in general? Why make it ADA specific? "
"ramp","curb_type","enum","","","Ped: Recommended if presence != yes","Ped: Recommended if presence != yes","If the location does not contain a curb ramp, the type of curb that is present. Values: raised, rolled, flush, generic, driveway, other.","","",""
"ramp","presence","","Ped: Recommended","Ped: Required","Ped: Required","Ped: Required","Whether or not a curb ramp exists at this location, regardless of its ADA compliance. Values: Yes, no, missing, unknown.","No means not needed...","",""
"transit_stop","stop_id","numeric","","","Ped: Optional","Ped: Optional","The numeric stop_id from GTFS for this transit stop. Station entrances and exits have their own stop_ids within GTFS. These IDs can be crosswalked with GTFS data to obtain additional transit attributes.","","",""
"transit_stop","is_entrance_exit","boolean","","","Ped: Optional","Ped: Recommended","Whether the stop is the entrance or exit to a transit station. Within GTFS, location_type = 2 indicates entrances and exits. Data from GTFS Pathways can be integrated where available to continue routing a passenger once inside the station.","","","Make another kind of ""object"" (below)?"
"object","object_type","string (with recommended values)","","","Ped: Recommended","Ped: Recommended","The type of object at this location. Values: power pole, fire hydrant, bench, bollard, manhole, street lamp, waste basket, restroom, accessible restroom","","",""
"","signal_type","","","","","","","","",""
"crossing","signal_feature","string (with recommended values; if multiple, list in JSON format)","Optional","","Ped: Recommended","","What additional features built into the signal enhance its usability and accessibility for a range of users. Values: signal duration over X seconds per lane (will need to figure out how to set X), countdown time displayed, push button, auto-detection, audio / vibrotactile walk indication, leading pedestrian interval, pedestrian scramble","","",""
