"Applies to these edge types","Name","Type","Presence","ML0","ML1","ML2","ML3","Description","Example Value","Rating for keeping (1 -5) (1 = throw out/table for later, 5 = keep/implement now)
Put Name Rating and then ',' for adding the next person","Notes","OSM Mapping?"
"all","edge_id","ID","Required","Ped: Required
Bike: Required","","","","Identifies the edge. Must be unique.","1234","Reid 5,","",""
"all","road_reference_id","ID","Optional","","Optional","","","Intended for sidewalks and bicycle facilities adjacent to streets. Allows for attaching road attributes to the sidewalks/bike facilities. Street name is useful for sidewalk routing, road characterstics are useful for determining the LTS of the bike facility.","","Reid 1, ","Do we want a way to specify which type the ID is? e.g. TMC ID, OSM ID, etc.? ",""
"all","road_reference_id_source","String (with recommended values)","Conditionally Required","","Required if road_reference_id is not blank","","","The specific source from which the road_reference_id comes, to enable data joining.","Census, ARNOLD, Overture, OSM","Reid 1, ","",""
"all","reference_ids","Array of JSONs","Optional","Ped: Optional
Bike: Optional","","","","Can be used to add reference IDs to other datasources such as OSM, OpenLR. Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum.","[{'id':'1234','source':'OpenStreetMap},{'GERSID:'1234','source':'Overture'}]","Reid 4,","",""
"all","from_node","ID","Required","Ped: Required
Bike: Required","","","","","1234","Reid 5,","",""
"all","to_node","ID","Required","Ped: Required
Bike: Required","","","","","1235","Reid 5,","",""
"all","directionality","Enum","Required","Ped: Required
Bike: Required","","","","Specifies directionality of the edge. If bidirectional is false then allowed direction is only 'from_node' to 'to_node': forward, backward, both","forward","Reid 5,","Could also just adapt OSM's oneway=yes/no/-1 but I don't like the -1 for backward","oneway"
"all","width","number","Optional","Ped: Optional
Bike: Optional","Ped: Required
Bike: Required","","","Width (assumed feet, specify in the metadata file if otherwise) of the described travel way considering both directions.","","Reid 5,","Is this based on the typical section width?? Or minimum along a segment? We need a policy for how this is decided. Or maybe make users aware that a consistent policy should inform their use",""
"all","*:units","String","Conditionally Required","Ped: Optional
Bike: Optional","","","","Used to specify the units for a particular attribute","feet, meters, miles, kilometers","Reid 1, ","Move to metadata if it's not already there",""
"all","surface_material","String with recommended values","Optional","Ped: Optional
Bike: Optional","Ped: Required
Bike: Required","","","Specifies the surface type. Recommened Values: asphalt, concrete, gravel, grass, dirt, paved, unpaved, grass_paver, paving_stones, other","","Reid 5,","too many values? too complex?",""
"all","incline","Decimal","Optional","Ped: Optional
Bike: Optional","Ped: Required","Bike: Recommended","","The running slope of the full segment. Always asume the given incline is in the foward direction regardless of allowed directions (i.e., ""from node"" to ""to node"").","","Reid 4,","Probably need a source field to go alongside this? Or a metadata thing?",""
"all","street_name","String","Optional","Ped: Optional
Bike: Optional","","","","Specifies the full name of the related street with no abbreviations. Roadway adjacent features (sidewalks, cycleways) should feature their adjacent road name.","","Reid 5,","",""
"all EXCEPT road","facility_name","String","Optional","Ped: Optional
Bike: Optional","","","","Common name for edge. Example: 10th Street Cycletrack, Lenape Trail, East Coast Greenway.","","Reid 2,","Makes sense but ill-defined?",""
"stairs","handrail","Boolean","Optional","","","Ped: Recommended","","Whether or not the stairs have a handrail.","","Reid 5,","",""
"stairs","step_count","Integer","Optional","Ped: Optional","","Ped: Recommended","","The number of steps within the set of stairs.","","Reid 4,","Not sure what this is for--JM: for people to determine if the stair is too many steps for them to go up or down? Accessibility? ",""
"crossing","markings","Enum","Optional","","Ped: Optional (yes/no values)","Ped: Recommended (specify type)","","The way the crossing is marked within the roadway space. Values: yes, no, standard (two solid parallel lines to indicate the outline), dashed lines (two dashed parallel lines to indicate the outline), zebra (regularly spaced diagonal bars along its length), continental (regularly spaced horizontal bars along its length), ladder (standard + zebra or continental), other rainbow or colored (for any non-pictogram markings in rainbow colors or colors other than white), pictograms (painted images of pedestrian and/or bicycle, with or without arrows). ","standard","Reid 5,","Consolidate the enumerated values",""
"crossing","markings_additional","List","Optional","","","Ped: Recommended","","Rainbow / colored / mural, tactile, pictograms (painted images of pedestrian and/or bicycle)","","Reid 2,","",""
"crossing","signal_type","String with recommended values","Optional","","","Ped: Recommended","","Type of signals that appear at the crossing. Values: bicycle signal, bicycle HAWK beacon, flashing beacon, edge lit, pedestrian hybrid beacon, pedestrian HAWK beacon, traffic signal","","Reid 2,","","https://wiki.openstreetmap.org/wiki/Tag:crossing=traffic_signals"
"crossing","signal_feature","string (with recommended values; if multiple, list in JSON format)","Optional","","","Ped: Recommended","","What additional features built into the signal enhance its usability and accessibility for a range of users. Values: signal duration over X seconds per lane (will need to figure out how to set X), countdown time displayed, push button, auto-detection, audio / vibrotactile walk indication, leading pedestrian interval, pedestrian scramble","","Reid 2,","",""
"crossing","traffic_control","String with recommended values","Optional","","","Ped: Recommended
Bike: Recommended","","What type of traffic control exists for this particular crossing. Values: uncontrolled, signalized, yield, stop, railroad crossing - signed, railroad crossing - signalized, railroad crossing - gate, railroad crossing - other, other. Note: This value is for this crossing segment. For example, if the intersection is a two-way stop, the crossings over the traffic lanes that have the stops would be marked ""stop,"" while the crossings over the traffic lanes with no stops would be ""uncontrolled.""","","Reid 4,","Helpful for low-effort implimentation of sidewalks/crossings data? Could also be derived from other data/nodes. Should this is an enumerated field with a domain of possible vlaues or have flexibility to describe however the analyst wants","https://wiki.openstreetmap.org/wiki/Tag:crossing=traffic%20signals?uselang=en"
"crossing","raised_tactile","string","Optional","","Ped: Optional (yes/no values)","Ped: Optional (specify type)","Ped: Optional (specify type)","yes, no, raised, textured, other","","","",""
"cycleway, sidewalks","separator_descriptive","List","Conditionally Required","Ped: Optional
Bike: Optional","Bike: Required if separator field is not none","","","The materials used to separate the cycleway or footpath from motor vehicle traffic -- for example, as part of a buffer. Values: bollards, concrete barrier, parking, median, trees, other","","Reid 4,","Do we need this for sidewalks? Or just make an assumption that most sidewalks are curb separated from the road?",""
"cycleway, sidewalk","buffer","Boolean","Optional","Ped: Optional
Bike: Recommended","","","","Whether or not there is buffer space between the road and a bicycle/pedestrian facility","TRUE","Reid 4,","Higher maturity level could use width but lower maturity level could be true/false? https://wiki.openstreetmap.org/wiki/Key:cycleway:buffer",""
"cycleway, sidewalk","buffer_width","Decimal","Optional","","","Bike: Recommended","","Distance between the edge of the motor vehicle travel lane and the bike lane or sidewalk in feet.","4","Reid 4,","",""
"cycleway, sidewalk","separator","Enum","Optional","Ped: Optional
Bike: Required","","","","Can a vehicle easily access this edge? Primarily intended for cycleways but could be used for pedestrian facilities. Options are: none, soft separator, hard separator","","Reid 5,","Need help with name, to describe whether a vehicle can traverse the buffer area into the bike lane or not. Different from whther a bike/ ped can traverse it. sperator.vehicle_acces?? ",""
"cycleway","separator_spacing","?","Optional","Ped: Optional
Bike: Optional","","","","Are the separator features spaced so far apart that their effectiveness is reduced? (https://nap.nationalacademies.org/catalog/28853/on-street-bicycle-facility-design-features-a-guide)","","Reid 2,","Seems subjective and hard to define but measures something important",""
"cycleway","vertical_separation","Enum","Optional","Ped: Optional
Bike: Optional","","","","Is the edge at road level, sidewalk level, or on it's own level?: road, sidewalk, cycleway","","Reid 2,","Added last minute but we don't currently have a way to track whether a bike facility has been raised to sidewalk level",""
"all","prohibited_uses","List Enum","Conditionally Required","Ped: Required if a restriction is present
Bike: Required if a restriction is present
","","","","Specifies, which types of users are legally prohibited from using the facility. Relates to the laws, policy, or signage on a facility (eg, E Bike prohibited on this trail)","","Reid 5,","Changed to prohibited uses. These should be really general. We can have another field to describe more specific restrictions like Class 1 ebikes only. Time based uses could be implemented in an extension file in a future version to account for regularly scheduled closed streets.",""
